駅,坪単価
浅草,238
田原町,244
稲荷町,240
上野,253
上野広小路,248
末広町,339
神田,354
日本橋,379
銀座,363
新橋,378
虎ノ門,481
溜池山王,518
赤坂見附,595
青山一丁目,525
外苑前,472
表参道,488
渋谷,458
北綾瀬,167
綾瀬,194
北千住,206
町屋,196
西日暮里,253
千駄木,290
根津,293
湯島,304
新御茶ノ水,371
国会議事堂前,518
赤坂,473
乃木坂,469
明治神宮前（原宿）,452
代々木公園,412
代々木上原,397
中野,306
落合,305
高田馬場,304
早稲田,311
神楽坂,351
飯田橋,400
九段下,476
茅場町,312
門前仲町,263
木場,247
東陽町,233
南砂町,210
西葛西,208
葛西,201
浦安,192
南行徳,194
行徳,200
妙典,205
原木中山,167
西船橋,180
赤羽岩淵,228
志茂,202
王子神谷,206
王子,226
西ケ原,228
駒込,299
本駒込,296
東大前,322
後楽園,313
市ケ谷,433
四ツ谷,429
永田町,614
六本木一丁目,555
麻布十番,490
白金高輪,402
白金台,461
目黒,354
半蔵門,570
神保町,425
水天宮前,311
清澄白河,251
住吉,238
錦糸町,242
押上（スカイツリー前）,238
南千住,201
三ノ輪,210
入谷,224
仲御徒町,248
秋葉原,350
小伝馬町,306
人形町,318
八丁堀,304
築地,328
東銀座,432
神谷町,456
六本木,505
広尾,510
恵比寿,411
中目黒,378
池袋,292
新大塚,294
茗荷谷,327
本郷三丁目,335
御茶ノ水,357
淡路町,371
四谷三丁目,365
新宿御苑前,374
新宿三丁目,283
新宿,338
西新宿,322
中野坂上,296
新中野,291
東高円寺,277
新高円寺,272
南阿佐ケ谷,297
荻窪,282
中野新橋,271
中野富士見町,266
方南町,264
和光市,174
地下鉄成増,201
地下鉄赤塚,201
平和台,221
氷川台,225
小竹向原,231
千川,261
要町,267
東池袋,316
護国寺,307
江戸川橋,308
麹町,538
銀座一丁目,343
新富町,309
月島,310
豊洲,260
辰巳,221
新線池袋,292
雑司が谷,316
西早稲田,351
東新宿,311
大崎,338
五反田,345
原宿,452
代々木,354
新大久保,293
目白,349
大塚,275
巣鴨,305
田端,227
日暮里,244
鶯谷,238
御徒町,248
浜松町,376
田町,353
品川,378
池尻大橋,344
三軒茶屋,322
駒沢大学,324
桜新町,320
用賀,313
二子玉川,316
二子新地,221
高津,227
溝の口,216
梶が谷,200
宮崎台,213
宮前平,214
鷺沼,205
たまプラーザ,237
あざみ野,226
江田,207
市が尾,205
藤が丘,215
青葉台,220
田奈,199
長津田,185
つくし野,164
すずかけ台,179
南町田,171
つきみ野,175
中央林間,189
代官山,507
祐天寺,325
学芸大学,317
都立大学,332
自由が丘,335
田園調布,344
多摩川,324
新丸子,259
武蔵小杉,265
元住吉,241
日吉,208
綱島,208
大倉山,229
菊名,218
妙蓮寺,212
白楽,234
